"id","title","type","release","year","end","studio","platform","saga","phase","earth","univName","universe","inuniv","dpos","dateCertainty","runtime","seasons","episodes","gross","budget","director","connections","tmdbId","poster"
"iron-man","Iron Man","film","2008-05-02","2008",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2010","4","official","126",,,"585796247","140000000","Jon Favreau","1","1726","78lPtwv72eTNqFW9COBYI0dWDJa.jpg"
"incredible-hulk","The Incredible Hulk","film","2008-06-13","2008",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","6","official","112",,,"264770996","150000000","Louis Leterrier","3","1724","gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg"
"iron-man-2","Iron Man 2","film","2010-05-07","2010",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","5","official","125",,,"623933331","200000000","Jon Favreau","0","10138","6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg"
"thor","Thor","film","2011-05-06","2011",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","8","official","114",,,"449326618","150000000","Kenneth Branagh","1","10195","prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg"
"cap-first-avenger","Captain America: The First Avenger","film","2011-07-22","2011",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","1943–1945","1","official","124",,,"370569774","140000000","Joe Johnston","2","1771","vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg"
"avengers","The Avengers","film","2012-05-04","2012",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2012","10","official","143",,,"1520538536","220000000","Joss Whedon","1","24428","RYMX2wcKCBAr24UyPD7xwmjaTn.jpg"
"iron-man-3","Iron Man 3","film","2013-05-03","2013",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2012–2013","13","official","130",,,"1215577205","200000000","Shane Black","2","68721","qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg"
"thor-dark-world","Thor: The Dark World","film","2013-11-08","2013",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2013","12","official","112",,,"644783140","170000000","Alan Taylor","1","76338","wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg"
"cap-winter-soldier","Captain America: The Winter Soldier","film","2014-04-04","2014",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2014","15","official","136",,,"714421503","170000000","Anthony & Joe Russo","1","100402","tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg"
"gotg","Guardians of the Galaxy","film","2014-08-01","2014",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2014","16","official","122",,,"773350147","170000000","James Gunn","2","118340","r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg"
"gotg-2","Guardians of the Galaxy Vol. 2","film","2017-05-05","2017",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2014","17","official","136",,,"863756051","200000000","James Gunn","0","283995","y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg"
"avengers-aou","Avengers: Age of Ultron","film","2015-05-01","2015",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2015","21","official","141",,,"1405018048","365000000","Joss Whedon","2","99861","4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg"
"ant-man","Ant-Man","film","2015-07-17","2015",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2015","22","official","117",,,"519311965","130000000","Peyton Reed","1","102899","rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg"
"cap-civil-war","Captain America: Civil War","film","2016-05-06","2016",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016","26","official","147",,,"1155046416","250000000","Anthony & Joe Russo","3","271110","rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg"
"black-widow","Black Widow","film","2021-07-09","2021",,"Marvel Studios","Theatrical / Disney+","Infinity Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2016","27","official","134",,,"379751655","200000000","Cate Shortland","1","497698","qAZ0pzat24kLdO3o8ejmbLxyOac.jpg"
"black-panther","Black Panther","film","2018-02-16","2018",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016","28","official","134",,,"1374959729","200000000","Ryan Coogler","1","284054","uxzzxijgPIY7slzFvMotPv8wjKA.jpg"
"spider-man-homecoming","Spider-Man: Homecoming","film","2017-07-07","2017",,"Marvel Studios / Sony","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016","29","official","133",,,"880166924","175000000","Jon Watts","2","315635","c24sv2weTHPsmDa7jEMN0m2P3RT.jpg"
"doctor-strange","Doctor Strange","film","2016-11-04","2016",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016–2017","31","official","115",,,"677796076","165000000","Scott Derrickson","1","284052","uGBVj3bEbCoZbDjjl9wTxcygko1.jpg"
"thor-ragnarok","Thor: Ragnarok","film","2017-11-03","2017",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2017","32","official","130",,,"855301806","180000000","Taika Waititi","0","284053","rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg"
"ant-man-wasp","Ant-Man and the Wasp","film","2018-07-06","2018",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2018","33","official","118",,,"622674139","162000000","Peyton Reed","0","363088","cFQEO687n1K6umXbInzocxcnAQz.jpg"
"avengers-iw","Avengers: Infinity War","film","2018-04-27","2018",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2018","34","official","149",,,"2052415039","325000000","Anthony & Joe Russo","2","299536","7WsyChQLEftFiDOVTGkv3hFpyyt.jpg"
"captain-marvel","Captain Marvel","film","2019-03-08","2019",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","1995","3","official","124",,,"1131416446","152000000","Anna Boden & Ryan Fleck","2","299537","AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg"
"avengers-endgame","Avengers: Endgame","film","2019-04-26","2019",,"Marvel Studios","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2018 → 2023","35","official","181",,,"2799439100","356000000","Anthony & Joe Russo","1","299534","ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg"
"spider-man-ffh","Spider-Man: Far From Home","film","2019-07-02","2019",,"Marvel Studios / Sony","Theatrical","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2024","41","official","129",,,"1138121790","160000000","Jon Watts","1","429617","4q2NNj4S5dG2RLF9CpXsej7yXl.jpg"
"shang-chi","Shang-Chi and the Legend of the Ten Rings","film","2021-09-03","2021",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2024","39","official","132",,,"432243292","150000000","Destin Daniel Cretton","3","566525","9f2Q0U3IOsLgrI2HkvldwSABZy5.jpg"
"eternals","Eternals","film","2021-11-05","2021",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","5000 BC → 2024","42","official","156",,,"402064899","200000000","Chloé Zhao","2","524434","lFByFSLV5WDJEv3KabbdAF959F2.jpg"
"spider-man-nwh","Spider-Man: No Way Home","film","2021-12-17","2021",,"Marvel Studios / Sony","Theatrical","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2024","43","official","148",,,"1928040905","200000000","Jon Watts","12","634649","1g0dhYtq4irTY1GPXvft6k4YLjm.jpg"
"deadpool-wolverine","Deadpool & Wolverine","film","2024-07-26","2024",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2024 / the Void","42.5","official","128",,,"1338073645","200000000","Shawn Levy","10","533535","8cdWjvZQUExUUTzyp4t6EDMubfO.jpg"
"doctor-strange-2","Doctor Strange in the Multiverse of Madness","film","2022-05-06","2022",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2024–2025","44","official","126",,,"955775804","294000000","Sam Raimi","9","453395","ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg"
"thor-love-thunder","Thor: Love and Thunder","film","2022-07-08","2022",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2025","51","official","119",,,"760928081","250000000","Taika Waititi","0","616037","pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg"
"black-panther-2","Black Panther: Wakanda Forever","film","2022-11-11","2022",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2025","47","official","161",,,"859208836","250000000","Ryan Coogler","1","505642","sv1xJUazXeYqALzczSZ3O6nkH75.jpg"
"gotg-3","Guardians of the Galaxy Vol. 3","film","2023-05-05","2023",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2026","55","official","150",,,"845555777","250000000","James Gunn","1","447365","r2J02Z2OpNTctfOSN1Ydgii51I3.jpg"
"quantumania","Ant-Man and the Wasp: Quantumania","film","2023-02-17","2023",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2026","54","official","124",,,"476071180","200000000","Peyton Reed","1","640146","qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg"
"the-marvels","The Marvels","film","2023-11-10","2023",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2026","57","official","105",,,"206136825","274800000","Nia DaCosta","2","609681","9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg"
"cap-brave-new-world","Captain America: Brave New World","film","2025-02-14","2025",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2026–2027","61","official","118",,,"415101577","180000000","Julius Onah","4","822119","pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg"
"thunderbolts","Thunderbolts*","film","2025-05-02","2025",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2027","62","official","127",,,"382436917","180000000","Jake Schreier","3","986056","hqcexYHbiTBfDIdDWxrxPtVndBX.jpg"
"fantastic-four-first-steps","The Fantastic Four: First Steps","film","2025-07-25","2025",,"Marvel Studios","Theatrical","Multiverse Saga","Phase Six","Earth-828","The First Family's World","e828","1960s (Earth-828)",,"n/a","114",,,"521858728","200000000","Matt Shakman","2","617126","nf5qaSEvyYSNeFH0YhSs5EsBLX9.jpg"
"spider-man-bnd","Spider-Man: Brand New Day","film","2026-07-31","2026",,"Marvel Studios / Sony","Theatrical","Multiverse Saga","Phase Six","Earth-199999","The Sacred Timeline","mcu","2028","63","inferred","145",,,"2046000000","200000000","Destin Daniel Cretton","2","969681","iPOn6DinuVyLY17YM9mKuPofV08.jpg"
"os-consultant","Marvel One-Shot: The Consultant","one-shot","2011-09-13","2011",,"Marvel Studios","Home media","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","9","official","4",,,,,"Leythum","1","76122","xqNLXUUvBnfVk6m3QFGGU0Grgs7.jpg"
"os-thors-hammer","Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer","one-shot","2011-10-25","2011",,"Marvel Studios","Home media","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","7","official","4",,,,,"Leythum","1","76535","njrOqsmFH4pxBrhcoslqLfw2OGk.jpg"
"os-item-47","Marvel One-Shot: Item 47","one-shot","2012-09-25","2012",,"Marvel Studios","Home media","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2012","11","official","12",,,,,"Louis D'Esposito","1","119569","hnSxG8clwLuAXEkp9emc8HCUcHD.jpg"
"os-agent-carter","Marvel One-Shot: Agent Carter","one-shot","2013-09-24","2013",,"Marvel Studios","Home media","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","1946","2.5","official","15",,,,,"Louis D'Esposito","1","211387","4vFKKWPvCVDJTOWiwReBfpAMScP.jpg"
"os-all-hail-king","Marvel One-Shot: All Hail the King","one-shot","2014-02-04","2014",,"Marvel Studios","Home media","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2014","14","official","14",,,,,"Drew Pearce","2","253980","y0QYZPWgeGKOvyrzi6Oz3aJPxJa.jpg"
"os-team-thor","Team Thor","short","2016-08-23","2016",,"Marvel Studios","Home media","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016",,"n/a","4",,,,,"Taika Waititi","0","413279","hpHvGuMc46pppwpcW0Xk7eys3L4.jpg"
"os-team-thor-2","Team Thor: Part 2","short","2017-03-07","2017",,"Marvel Studios","Home media","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016",,"n/a","4",,,,,"Taika Waititi","0","441829","2jmP71A5Un0jDNqBesDPQSN8hjJ.jpg"
"os-team-darryl","Team Darryl","short","2018-02-28","2018",,"Marvel Studios","Home media","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2018",,"n/a","6",,,,,"Taika Waititi","0","505945","edroTAeTEM9ILyAnumA0ALxRSne.jpg"
"os-peters-todo-list","Peter's To-Do List","short","2017-10-17","2017",,"Marvel Studios / Sony","Home media","Infinity Saga","Phase Three","Earth-199999","The Sacred Timeline","mcu","2016","29.5","inferred","4",,,,,"Jon Watts","1","758025","9OOhqOVo37DQnQ6OUPz0Qlek5Uv.jpg"
"agents-of-shield","Marvel's Agents of S.H.I.E.L.D.","series","2013-09-24","2013","2020-08-12","Marvel Television / ABC Studios","ABC","Marvel Television","—","Earth-199999","The Sacred Timeline","mcu","2012–2019","32.4","official",,"7","136",,,"Joss Whedon (dev.)","7","1403","gHUCCMy1vvj58tzE3dZqeC9SXus.jpg"
"agent-carter","Marvel's Agent Carter","series","2015-01-06","2015","2016-03-01","Marvel Television / ABC Studios","ABC","Marvel Television","—","Earth-199999","The Sacred Timeline","mcu","1946–1947","2","official",,"2","18",,,"Markus & McFeely (dev.)","4","61550","fe79VYyLp5ZBstpJ4oukpuUT3B.jpg"
"inhumans","Marvel's Inhumans","series","2017-09-29","2017","2017-11-10","Marvel Television / ABC Studios","ABC","Marvel Television","—","Earth-199999","The Sacred Timeline","mcu","2017","32.5","inferred",,"1","8",,,"Scott Buck","2","68716","zKfGip55oJ9tdzhyd9ayGyFFhuo.jpg"
"runaways","Marvel's Runaways","series","2017-11-21","2017","2019-12-13","Marvel Television / ABC Signature","Hulu","Marvel Television","—","Earth-199999","The Sacred Timeline","mcu","2017–2018","32.6","inferred",,"3","33",,,"Schwartz & Savage","1","67466","hnHEhbzh0F7kN3Ah1lzRjtQuW16.jpg"
"cloak-and-dagger","Marvel's Cloak & Dagger","series","2018-06-07","2018","2019-05-30","Marvel Television / ABC Signature","Freeform","Marvel Television","—","Earth-199999","The Sacred Timeline","mcu","2018","34.5","inferred",,"2","20",,,"Joe Pokaski","1","66190","pYnRJuBPEqZO1o4fcxBTgmKNHfy.jpg"
"helstrom","Helstrom","series","2020-10-16","2020","2020-10-16","Marvel Television / ABC Signature","Hulu","Marvel Television","—","Earth-TRN836","Helstrom","helstrom","2020",,"n/a",,"1","10",,,"Paul Zbyszewski","0","88987","5QmcKsepYpO9XYsWNLwsiULoaAu.jpg"
"modok","Marvel's M.O.D.O.K.","series","2021-05-21","2021","2021-05-21","Marvel Television / Stoopid Buddy","Hulu","Marvel Television","—","Unclassified","Unassigned Realities","unclassified","2021",,"n/a",,"1","10",,,"Oswalt & Blum","0","111312","2kXRzRjQZs9kAIm3K9MkQgsZR9C.jpg"
"hit-monkey","Marvel's Hit-Monkey","series","2021-11-17","2021","2024-07-15","Marvel Television / 20th TV Animation","Hulu","Marvel Television","—","Unclassified","Unassigned Realities","unclassified","Present day",,"n/a",,"2","20",,,"Josh Gordon & Will Speck","0","133903","1aK7hApRSDUv8xxDQXyQil7qBjN.jpg"
"netflix-daredevil","Marvel's Daredevil","series","2015-04-10","2015","2018-10-19","Marvel Television / ABC Studios","Netflix","Defenders Saga","—","Earth-199999","The Sacred Timeline","mcu","2015–2017","19","inferred",,"3","39",,,"Drew Goddard (dev.)","7","61889","QWbPaDxiB6LW2LjASknzYBvjMj.jpg"
"netflix-jessica-jones","Marvel's Jessica Jones","series","2015-11-20","2015","2019-06-14","Marvel Television / ABC Studios","Netflix","Defenders Saga","—","Earth-199999","The Sacred Timeline","mcu","2015–2019","20","inferred",,"3","39",,,"Melissa Rosenberg","3","38472","oxnWofiE9fHOgUfs9NJa6nG6NTR.jpg"
"netflix-luke-cage","Marvel's Luke Cage","series","2016-09-30","2016","2018-06-22","Marvel Television / ABC Studios","Netflix","Defenders Saga","—","Earth-199999","The Sacred Timeline","mcu","2016–2018","23","inferred",,"2","26",,,"Cheo Hodari Coker","2","62126","yzM1hMB3PUJqbISX0f421b3xOjB.jpg"
"netflix-iron-fist","Marvel's Iron Fist","series","2017-03-17","2017","2018-09-07","Marvel Television / ABC Studios","Netflix","Defenders Saga","—","Earth-199999","The Sacred Timeline","mcu","2016–2018","24","inferred",,"2","23",,,"Scott Buck","1","62127","4l6KD9HhtD6nCDEfg10Lp6C6zah.jpg"
"netflix-defenders","Marvel's The Defenders","series","2017-08-18","2017","2017-08-18","Marvel Television / ABC Studios","Netflix","Defenders Saga","—","Earth-199999","The Sacred Timeline","mcu","2016","25","inferred",,"1","8",,,"Petrie & Ramirez","4","62285","49XzINhH4LFsgz7cx6TOPcHUJUL.jpg"
"netflix-punisher","Marvel's The Punisher","series","2017-11-17","2017","2019-01-18","Marvel Television / ABC Studios","Netflix","Defenders Saga","—","Earth-199999","The Sacred Timeline","mcu","2017–2019","30","inferred",,"2","26",,,"Steve Lightfoot","3","67178","tM6xqRKXoloH9UchaJEyyRE9O1w.jpg"
"wandavision","WandaVision","series","2021-01-15","2021","2021-03-05","Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2023","38","official",,"1","9",,,"Jac Schaeffer","2","85271","ijWWwINc8h71NQ8j1LTJMFSj5wr.jpg"
"tfatws","The Falcon and the Winter Soldier","series","2021-03-19","2021","2021-04-23","Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2024","40","official",,"1","6",,,"Malcolm Spellman","0","88396","6kbAMLteGO8yyewYau6bJ683sw7.jpg"
"loki","Loki","series","2021-06-09","2021","2023-11-09","Marvel Studios","Disney+","Multiverse Saga","Phase Four / Five","Outside Time","The Time Variance Authority","tva","Outside time","36","official",,"2","12",,,"Michael Waldron","3","84958","kEl2t3OhXc3Zb9FBh1AuYzRTgZp.jpg"
"what-if","What If...?","series","2021-08-11","2021","2024-12-29","Marvel Studios Animation","Disney+","Multiverse Saga","Phase Four / Five","Earth-21818","The Watcher's Multiverse","whatif","Multiversal",,"n/a",,"3","26",,,"A.C. Bradley","7","224311","twlT3CSrN7QsM3AaufggPxYoyFs.jpg"
"hawkeye","Hawkeye","series","2021-11-24","2021","2021-12-22","Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2024","45","official",,"1","6",,,"Jonathan Igla","2","88329","ct5pNE5dDHryHLDnxyZPYcqO1sz.jpg"
"moon-knight","Moon Knight","series","2022-03-30","2022","2022-05-04","Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2025","46","official",,"1","6",,,"Jeremy Slater","0","92749","x6FsYvt33846IQnDSFxla9j0RX8.jpg"
"ms-marvel","Ms. Marvel","series","2022-06-08","2022","2022-07-13","Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2025","50","official",,"1","6",,,"Bisha K. Ali","2","92782","3HWWh92kZbD7odwJX7nKmXNZsYo.jpg"
"i-am-groot","I Am Groot","series","2022-08-10","2022","2023-09-06","Marvel Studios Animation","Disney+","Multiverse Saga","Phase Four / Five","Earth-199999","The Sacred Timeline","mcu","2014","18","official",,"2","10",,,"Kirsten Lepore","1","232125","3QfQYECgu6DX5UUWCBvv1Fl0BAJ.jpg"
"she-hulk","She-Hulk: Attorney at Law","series","2022-08-18","2022","2022-10-13","Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2024–2025","49","official",,"1","9",,,"Jessica Gao","3","92783","5xz2orV8f0usyrfGNshcoXHmiaV.jpg"
"werewolf-by-night","Werewolf by Night","special","2022-10-07","2022",,"Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2025","52","inferred","53",,,,,"Michael Giacchino","1","894205","mvIvNKRIJPPS7WSFarFhOAGIVnU.jpg"
"gotg-holiday-special","The Guardians of the Galaxy Holiday Special","special","2022-11-25","2022",,"Marvel Studios","Disney+","Multiverse Saga","Phase Four","Earth-199999","The Sacred Timeline","mcu","2025","53","official","44",,,,,"James Gunn","1","774752","8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg"
"secret-invasion","Secret Invasion","series","2023-06-21","2023","2023-07-26","Marvel Studios","Disney+","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2026","56","inferred",,"1","6",,,"Kyle Bradstreet","0","114472","3rINdUPSy9AklJg74jWHOyUXuZd.jpg"
"echo","Echo","series","2024-01-09","2024","2024-01-09","Marvel Studios","Disney+ / Hulu","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2025","48","inferred",,"1","5",,,"Marion Dayre","3","1295131","e1qphn14wFRA5ue5ch8cax1ijC3.jpg"
"xmen-97","X-Men '97","series","2024-03-20","2024","2026-08-12","Marvel Studios Animation","Disney+","Marvel Animation","—","Earth-92131","The '90s Animated Universe","e92131","1997 (Earth-92131)",,"n/a",,"2","19",,,"Beau DeMayo","2","138502","2HKBc5UiFw8JrruHq8S1Y7TnlW0.jpg"
"agatha-all-along","Agatha All Along","series","2024-09-18","2024","2024-10-30","Marvel Television","Disney+","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2026","59","official",,"1","9",,,"Jac Schaeffer","2","138501","mGsxKwXUjojitRv2E9qMTbxbBRd.jpg"
"friendly-neighborhood-spider-man","Your Friendly Neighborhood Spider-Man","series","2025-01-29","2025",,"Marvel Studios Animation","Disney+","Marvel Animation","—","Earth-86445","Peter Parker's Other First Year","yfnsm","Alt. timeline (Earth-86445)",,"n/a",,"1","10",,,"Jeff Trammell","1","138503","kjcsNeqF52YUQ2rUBGLMHwLkxvR.jpg"
"daredevil-born-again","Daredevil: Born Again","series","2025-03-04","2025","2026-05-05","Marvel Television","Disney+","Multiverse Saga","Phase Five / Six","Earth-199999","The Sacred Timeline","mcu","2026–2027","60","inferred",,"2","17",,,"Dario Scardapane","6","202555","xDUoAsU8lQHOOoRkFiBuarmACDN.jpg"
"ironheart","Ironheart","series","2025-06-24","2025","2025-07-01","Marvel Television / Proximity","Disney+","Multiverse Saga","Phase Five","Earth-199999","The Sacred Timeline","mcu","2025","55.5","inferred",,"1","6",,,"Chinaka Hodge","1","114471","dOh6MJpdlQhYpLBhzhNQeYGKTZ5.jpg"
"eyes-of-wakanda","Eyes of Wakanda","series","2025-08-01","2025","2025-08-01","Marvel Studios Animation / Proximity","Disney+","Marvel Animation","—","Earth-199999","The Sacred Timeline","mcu","1260 BC – 1896 AD","0","official",,"1","4",,,"Todd Harris","1","241388","yuOfb1MgnaGPa4guzV0n1IFYVGN.jpg"
"marvel-zombies","Marvel Zombies","series","2025-09-24","2025","2025-09-24","Marvel Studios Animation","Disney+","Multiverse Saga","—","Earth-89521","The Zombie Reality","mz","Alt. timeline (Earth-89521)",,"n/a",,"1","4",,,"Bryan Andrews","1","138505","mwKj9ERGFXsWot0nXgQ5yMQf9I7.jpg"
"punisher-one-last-kill","The Punisher: One Last Kill","special","2026-05-12","2026",,"Marvel Television","Disney+","Multiverse Saga","Phase Six","Earth-199999","The Sacred Timeline","mcu","2027","61.5","inferred","60",,,,,"Reinaldo Marcus Green","2","1439930","qQclTgLMDvGBuUBFGHRipxkEwWR.jpg"
"wonder-man","Wonder Man","series","2026-01-27","2026","2026-01-27","Marvel Television","Disney+","Multiverse Saga","Phase Six","Earth-199999","The Sacred Timeline","mcu","2027","62.5","inferred",,"1","8",,,"Destin Daniel Cretton & Andrew Guest","1","198178","6yy9nQlFt2l6UVWzrfhszFCaZ5C.jpg"
"legion","Legion","series","2017-02-08","2017","2019-08-12","Marvel Television / FX Productions","FX","Fox Mutant Universe","—","Earth-17040","Legion","legion","Ambiguous era",,"n/a",,"3","27",,,"Noah Hawley","0","67195","xhJtYVTsdXQCIlB5hAXkMCPUG9y.jpg"
"the-gifted","The Gifted","series","2017-10-02","2017","2019-02-26","Marvel Television / 20th Century Fox TV","Fox","Fox Mutant Universe","—","Earth-17372","The Gifted","gifted","2017–2018",,"n/a",,"2","29",,,"Matt Nix","0","69629","nshCqszjTNuqhrB53vrSqWO18sE.jpg"
"raimi-spider-man","Spider-Man","film","2002-05-03","2002",,"Columbia Pictures / Sony","Theatrical","Raimi Trilogy","—","Earth-96283","The Raimi Universe","raimi","2002",,"n/a","121",,,"825025036","139000000","Sam Raimi","4","557","nXdAh5vUwERL4WGVMaee8RoDEAS.jpg"
"raimi-spider-man-2","Spider-Man 2","film","2004-06-30","2004",,"Columbia Pictures / Sony","Theatrical","Raimi Trilogy","—","Earth-96283","The Raimi Universe","raimi","2004",,"n/a","127",,,"795000000","200000000","Sam Raimi","4","558","aGuvNAaaZuWXYQQ6N2v7DeuP6mB.jpg"
"raimi-spider-man-3","Spider-Man 3","film","2007-05-04","2007",,"Columbia Pictures / Sony","Theatrical","Raimi Trilogy","—","Earth-96283","The Raimi Universe","raimi","2007",,"n/a","139",,,"894983373","258000000","Sam Raimi","3","559","sJMTTGjtjvrMZ7G0oP9D13wNUum.jpg"
"tasm","The Amazing Spider-Man","film","2012-07-03","2012",,"Columbia Pictures / Sony","Theatrical","Amazing Spider-Man Duology","—","Earth-120703","The Amazing Universe","tasm","2012",,"n/a","136",,,"757930663","230000000","Marc Webb","2","1930","jexoNYnPd6vVrmygwF6QZmWPFdu.jpg"
"tasm-2","The Amazing Spider-Man 2","film","2014-05-02","2014",,"Columbia Pictures / Sony","Theatrical","Amazing Spider-Man Duology","—","Earth-120703","The Amazing Universe","tasm","2014",,"n/a","142",,,"708982323","255000000","Marc Webb","4","102382","dGjoPttcbKR5VWg1jQuNFB247KL.jpg"
"venom","Venom","film","2018-10-05","2018",,"Columbia Pictures / Sony","Theatrical","Sony's Spider-Man Universe","—","Earth-688B","Sony's Spider-Man Universe","ssu","2018",,"n/a","112",,,"856085151","116000000","Ruben Fleischer","4","335983","2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg"
"venom-2","Venom: Let There Be Carnage","film","2021-10-01","2021",,"Columbia Pictures / Sony","Theatrical","Sony's Spider-Man Universe","—","Earth-688B","Sony's Spider-Man Universe","ssu","2021",,"n/a","97",,,"506863592","110000000","Andy Serkis","4","580489","pzKsRuKLFmYrW5Q0q8E8G78Tcgo.jpg"
