"id","title","type","release","year","end","studio","platform","saga","phase","earth","univName","universe","inuniv","dpos","dateCertainty","runtime","seasons","episodes","gross","budget","director","connections","tmdbId","poster"
"blade-trinity","Blade: Trinity","film","2004-12-08","2004",,"New Line Cinema","Theatrical","Blade Trilogy","—","Earth-26320","The Daywalker's World","blade","2004",,"n/a","113",,,"128905366","65000000","David S. Goyer","2","36648","6f7iXvPOnf83MaLB1JmPzUor1rr.jpg"
"blade-series","Blade: The Series","series","2006-06-28","2006","2006-09-13","New Line Television","Spike TV","Blade Trilogy","—","Earth-26320","The Daywalker's World","blade","2006",,"n/a",,"1","13",,,"David S. Goyer","1","4619","e3pnvrKkwgX3GKI0vzgQ0igFt0l.jpg"
"ghost-rider","Ghost Rider","film","2007-02-16","2007",,"Columbia Pictures / Sony","Theatrical","Pre-MCU Marvel Films","—","Earth-121347","The Rider's Reality","gr","2007",,"n/a","110",,,"228738393","110000000","Mark Steven Johnson","2","1250","4quwR1VwZouD0YF9AaD72kQAjxH.jpg"
"ghost-rider-2","Ghost Rider: Spirit of Vengeance","film","2012-02-17","2012",,"Columbia Pictures / Sony","Theatrical","Pre-MCU Marvel Films","—","Earth-121347","The Rider's Reality","gr","2012",,"n/a","95",,,"132563930","57000000","Neveldine & Taylor","1","71676","xEoBT6lYfQNpSpTm8gJMTrQytiw.jpg"
"howard-the-duck","Howard the Duck","film","1986-08-01","1986",,"Universal Pictures","Theatrical","Pre-MCU Marvel Films","—","Earth-58470","Howard's Cleveland","howard","1986",,"n/a","111",,,"37962774","37000000","Willard Huyck","0","10658","eU0dWo8PJgsSAZFbcyHiUpuLSyW.jpg"
"punisher-1989","The Punisher","film","1989-10-05","1989",,"New World Pictures","Theatrical (intl.) / Video (US)","Pre-MCU Marvel Films","—","Earth-58627","Dolph Lundgren's Punisher","pun89","1989",,"n/a","89",,,"30000000","9000000","Mark Goldblatt","0","8867","tA0O0hYyHX7Hl2Fl8VEtGtfBtjI.jpg"
"captain-america-1990","Captain America","film","1990-12-14","1990",,"21st Century Film Corporation","Theatrical (intl.) / Video (US)","Pre-MCU Marvel Films","—","Earth-697064","Matt Salinger's Captain America","cap90","1936 / 1943 / 1993",,"n/a","97",,,,"3000000","Albert Pyun","0","13995","vdHrLFfHcJX9nlvUfG3LK2a2hq4.jpg"
"daredevil-2003","Daredevil","film","2003-02-14","2003",,"20th Century Fox","Theatrical","Pre-MCU Marvel Films","—","Earth-701306","Hell's Kitchen (2003)","dd03","2003",,"n/a","103",,,"179179718","78000000","Mark Steven Johnson","1","9480","oCDBwSkntYamuw8VJIxMRCtDBmi.jpg"
"hulk-2003","Hulk","film","2003-06-20","2003",,"Universal Pictures","Theatrical","Pre-MCU Marvel Films","—","Earth-400083","Ang Lee's Hulk","hulk03","2003",,"n/a","138",,,"245360480","137000000","Ang Lee","0","1927","UllIft2jLSBaay3zQyMV4GNdfy.jpg"
"punisher-2004","The Punisher","film","2004-04-16","2004",,"Lionsgate","Theatrical","Pre-MCU Marvel Films","—","Earth-58732","Thomas Jane's Punisher","pun04","2004",,"n/a","123",,,"54700105","33000000","Jonathan Hensleigh","0","7220","7rmA1HwYp2GKM85BL0cVwCaosGr.jpg"
